type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
novel_cluster,2024-09-02/2024-09-08,,,,,medium,,,,,,,63.0,1252.0,5.03,"[10063208, 10059424, 10000288, 10029140, 9998385]",,,,,5.0
novel_cluster,2024-09-09/2024-09-15,,,,,medium,,,,,,,68.0,1357.0,5.01,"[10130861, 10086403, 10124371, 10124512, 10123953]",,,,,5.0
novel_cluster,2024-10-14/2024-10-20,,,,,medium,,,,,,,69.0,1380.0,5.0,"[10501392, 10507263, 10449105, 10487541, 10510363]",,,,,5.0
novel_cluster,2024-10-21/2024-10-27,,,,,medium,,,,,,,74.0,1470.0,5.03,"[10566271, 10587209, 10539281, 10526441, 10523641]",,,,,5.0
novel_cluster,2024-10-28/2024-11-03,,,,,medium,,,,,,,67.0,1335.0,5.02,"[10610391, 10620912, 10627290, 10620668, 10641321]",,,,,5.0
novel_cluster,2024-11-04/2024-11-10,,,,,medium,,,,,,,74.0,1471.0,5.03,"[10706985, 10678939, 10674756, 10688497, 10688091]",,,,,5.0
novel_cluster,2024-11-11/2024-11-17,,,,,medium,,,,,,,69.0,1364.0,5.06,"[10808347, 10813390, 10752643, 10781221, 10833220]",,,,,5.0
novel_cluster,2024-11-18/2024-11-24,,,,,medium,,,,,,,67.0,1328.0,5.05,"[10876600, 10914381, 10899711, 10898506, 10866039]",,,,,5.0
novel_cluster,2024-09-30/2024-10-06,,,,,medium,,,,,,,66.0,1414.0,4.67,"[10322883, 10320385, 10359527, 10296629, 10305262]",,,,,5.0
novel_cluster,2024-10-07/2024-10-13,,,,,medium,,,,,,,71.0,1629.0,4.36,"[10408459, 10417752, 10386966, 10361893, 10396277]",,,,,5.0
novel_cluster,2024-12-02/2024-12-08,,,,,medium,,,,,,,77.0,1522.0,5.06,"[11011546, 10998715, 11025973, 11009097, 10998220]",,,,,5.0
novel_cluster,2024-11-25/2024-12-01,,,,,medium,,,,,,,56.0,1118.0,5.01,"[10970673, 10988046, 10943917, 10931847, 10970502]",,,,,5.0
novel_cluster,2024-12-09/2024-12-15,,,,,medium,,,,,,,75.0,1498.0,5.01,"[11149161, 11128554, 11102397, 11108737, 11128473]",,,,,5.0
novel_cluster,2024-06-24/2024-06-30,,,,,medium,,,,,,,27.0,1363.0,1.98,"[9368062, 9355434, 9351128, 9379124, 9354836]",,,,,5.0
novel_cluster,2024-06-17/2024-06-23,,,,,medium,,,,,,,66.0,1307.0,5.05,"[9324532, 9284415, 9282070, 9305322, 9308444]",,,,,5.0
novel_cluster,2024-06-10/2024-06-16,,,,,medium,,,,,,,63.0,1255.0,5.02,"[9271054, 9254690, 9250825, 9266976, 9229173]",,,,,5.0
novel_cluster,2024-06-03/2024-06-09,,,,,medium,,,,,,,73.0,1466.0,4.98,"[9198442, 9207040, 9215278, 9178527, 9184942]",,,,,5.0
novel_cluster,2024-05-27/2024-06-02,,,,,medium,,,,,,,72.0,1427.0,5.05,"[9133181, 9115527, 9126970, 9118420, 9150942]",,,,,5.0
novel_cluster,2024-05-20/2024-05-26,,,,,medium,,,,,,,73.0,1461.0,5.0,"[9103633, 9075452, 9072952, 9099037, 9101071]",,,,,5.0
novel_cluster,2024-05-13/2024-05-19,,,,,medium,,,,,,,69.0,1365.0,5.05,"[8992657, 9046886, 9002984, 9038352, 9007983]",,,,,5.0
novel_cluster,2024-05-06/2024-05-12,,,,,medium,,,,,,,76.0,1510.0,5.03,"[8959718, 8982419, 8936338, 8946522, 8982635]",,,,,5.0
novel_cluster,2024-08-19/2024-08-25,,,,,medium,,,,,,,68.0,1345.0,5.06,"[9844875, 9898813, 9910639, 9847710, 9904959]",,,,,5.0
correlated_spike,2024-12-23/2024-12-29,,,,,medium,,,,,,,,,,,3.0,"['NRA Group, LLC', 'Self Financial Inc.', 'Velocity Portfolio Group']",2.19,"{'Attempts to collect debt not owed': 7, 'False statements or representation': 6, 'Written notification about debt': 2}",5.0
correlated_spike,2024-11-11/2024-11-17,,,,,medium,,,,,,,,,,,4.0,"['Absolute Resolutions Corp.', 'Debt Recovery Solutions, LLC', 'Harris & Harris, Ltd.', 'Security Credit Services, LLC']",3.06,"{'Attempts to collect debt not owed': 10, 'False statements or representation': 9, 'Written notification about debt': 4}",5.0
correlated_spike,2024-11-25/2024-12-01,,,,,medium,,,,,,,,,,,3.0,"['AMERICAN EXPRESS COMPANY', ""Conn's, Inc."", 'SANTANDER HOLDINGS USA, INC.']",2.54,"{'Attempts to collect debt not owed': 6, 'False statements or representation': 5, 'Written notification about debt': 5}",5.0
correlated_spike,2024-12-02/2024-12-08,,,,,medium,,,,,,,,,,,3.0,"['AMERICAN EXPRESS COMPANY', 'Aargon Agency, Inc.', 'Westlake Services, LLC']",2.52,"{'Attempts to collect debt not owed': 10, 'False statements or representation': 5, 'Written notification about debt': 2}",5.0
correlated_spike,2024-10-14/2024-10-20,,,,,medium,,,,,,,,,,,4.0,"['Ability Recovery Services, LLC', 'BARCLAYS BANK DELAWARE', 'Credit Control, LLC', 'Velocity Portfolio Group']",2.68,"{'Attempts to collect debt not owed': 11, 'Written notification about debt': 8, 'Took or threatened to take negative or legal action': 7}",5.0
correlated_spike,2024-10-07/2024-10-13,,,,,medium,,,,,,,,,,,3.0,"['Diversified Adjustment Service, Inc.', 'NCB Management Services Inc.', 'United Collection Bureau, Inc.']",3.21,"{'Attempts to collect debt not owed': 12, 'False statements or representation': 4, 'Took or threatened to take negative or legal action': 4}",5.0
correlated_spike,2024-08-05/2024-08-11,,,,,medium,,,,,,,,,,,3.0,"['Credit Control, LLC', 'Lockhart, Morris & Montgomery Inc.', 'RentDebt Automated Collections, LLC']",2.83,"{'Attempts to collect debt not owed': 9, 'False statements or representation': 3, 'Communication tactics': 2}",5.0
correlated_spike,2024-08-19/2024-08-25,,,,,medium,,,,,,,,,,,4.0,"['Credit Control, LLC', 'Mullooly Jeffrey Rooney & Flynn', 'Rent Recovery Solutions', 'Sequium Asset Solutions, LLC']",4.0,"{'Attempts to collect debt not owed': 17, 'Written notification about debt': 9, 'Took or threatened to take negative or legal action': 4}",5.0
correlated_spike,2024-08-26/2024-09-01,,,,,medium,,,,,,,,,,,3.0,"['NRA Group, LLC', 'TrueAccord Corp.', 'Unifin Inc.']",2.56,"{'Attempts to collect debt not owed': 10, 'Electronic communications': 4, 'Written notification about debt': 3}",5.0
correlated_spike,2024-06-24/2024-06-30,,,,,medium,,,,,,,,,,,4.0,"['Consumer Adjustment Company Incorporated', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'V and H Portfolio', 'Waypoint Resource Group, LLC']",2.52,"{'Attempts to collect debt not owed': 15, 'Written notification about debt': 7, 'False statements or representation': 3}",5.0
correlated_spike,2024-05-06/2024-05-12,,,,,medium,,,,,,,,,,,4.0,"['AMERICAN EXPRESS COMPANY', 'Aldous & Associates, PLLC', 'The CBE Group, Inc.', 'WELLS FARGO & COMPANY']",2.68,"{'Attempts to collect debt not owed': 20, 'Written notification about debt': 8, 'Took or threatened to take negative or legal action': 3}",5.0
correlated_spike,2024-04-29/2024-05-05,,,,,medium,,,,,,,,,,,3.0,"['Capio Partners, LLC', 'NAVY FEDERAL CREDIT UNION', 'SANTANDER HOLDINGS USA, INC.']",2.39,"{'Written notification about debt': 7, 'Attempts to collect debt not owed': 6, 'Took or threatened to take negative or legal action': 4}",5.0
correlated_spike,2024-04-22/2024-04-28,,,,,medium,,,,,,,,,,,4.0,"['Lockhart, Morris & Montgomery Inc.', 'National Credit Adjusters, LLC', 'Velocity Portfolio Group', 'W&A Intermediate Co., LLC']",2.62,"{'Attempts to collect debt not owed': 31, 'Written notification about debt': 9, 'Communication tactics': 5}",5.0
novel_cluster,2024-02-12/2024-02-18,,,,,medium,,,,,,,50.0,983.0,5.09,"[8366152, 8352897, 8330539, 8351927, 8351505]",,,,,5.0
novel_cluster,2024-02-05/2024-02-11,,,,,medium,,,,,,,46.0,911.0,5.05,"[8299225, 8320707, 8303086, 8320237, 8310876]",,,,,5.0
novel_cluster,2024-01-08/2024-01-14,,,,,medium,,,,,,,41.0,821.0,4.99,"[8136321, 8172499, 8129678, 8133102, 8122407]",,,,,5.0
novel_cluster,2023-12-11/2023-12-17,,,,,medium,,,,,,,39.0,778.0,5.01,"[8000392, 7983362, 8012992, 7997588, 8000491]",,,,,5.0
novel_cluster,2024-07-01/2024-07-07,,,,,medium,,,,,,,51.0,1003.0,5.08,"[9432626, 9405384, 9444438, 9393712, 9397019]",,,,,5.0
novel_cluster,2024-07-08/2024-07-14,,,,,medium,,,,,,,63.0,1252.0,5.03,"[9484021, 9487029, 9457470, 9460889, 9453422]",,,,,5.0
novel_cluster,2024-07-15/2024-07-21,,,,,medium,,,,,,,70.0,1398.0,5.01,"[9562902, 9531976, 9539290, 9548078, 9542241]",,,,,5.0
novel_cluster,2024-04-01/2024-04-07,,,,,medium,,,,,,,80.0,1587.0,5.04,"[8712523, 8713917, 8679252, 8702281, 8683719]",,,,,5.0
novel_cluster,2024-04-29/2024-05-05,,,,,medium,,,,,,,78.0,1542.0,5.06,"[8878308, 8920549, 8918712, 8925257, 8915724]",,,,,5.0
novel_cluster,2024-02-19/2024-02-25,,,,,medium,,,,,,,62.0,1233.0,5.03,"[8403032, 8389233, 8372852, 8372648, 8405888]",,,,,5.0
novel_cluster,2024-02-26/2024-03-03,,,,,medium,,,,,,,53.0,1043.0,5.08,"[8467522, 8464150, 8416461, 8431849, 8444124]",,,,,5.0
novel_cluster,2024-03-04/2024-03-10,,,,,medium,,,,,,,74.0,1465.0,5.05,"[8488990, 8504974, 8495455, 8508276, 8505557]",,,,,5.0
novel_cluster,2024-03-11/2024-03-17,,,,,medium,,,,,,,95.0,1900.0,5.0,"[8531550, 8543928, 8524203, 8558544, 8529374]",,,,,5.0
novel_cluster,2024-03-18/2024-03-24,,,,,medium,,,,,,,82.0,1633.0,5.02,"[8602617, 8564303, 8599956, 8601123, 8590968]",,,,,5.0
novel_cluster,2024-03-25/2024-03-31,,,,,medium,,,,,,,76.0,1519.0,5.0,"[8616890, 8632160, 8655520, 8639766, 8662531]",,,,,5.0
novel_cluster,2024-01-01/2024-01-07,,,,,medium,,,,,,,42.0,831.0,5.05,"[8086643, 8119217, 8089662, 8120268, 8094254]",,,,,5.0
novel_cluster,2023-12-25/2023-12-31,,,,,medium,,,,,,,37.0,734.0,5.04,"[8065023, 8061655, 8084721, 8062039, 8067940]",,,,,5.0
novel_cluster,2023-12-18/2023-12-24,,,,,medium,,,,,,,41.0,813.0,5.04,"[8035783, 8052409, 8042219, 8041804, 8025161]",,,,,5.0
novel_cluster,2023-12-04/2023-12-10,,,,,medium,,,,,,,40.0,799.0,5.01,"[7944604, 7957829, 7939953, 7960317, 7939806]",,,,,5.0
novel_cluster,2023-11-27/2023-12-03,,,,,medium,,,,,,,40.0,793.0,5.04,"[7918730, 7928646, 7927544, 7916594, 7908576]",,,,,5.0
novel_cluster,2024-01-15/2024-01-21,,,,,medium,,,,,,,40.0,792.0,5.05,"[8166807, 8157926, 8181901, 8181920, 8178886]",,,,,5.0
novel_cluster,2024-01-22/2024-01-28,,,,,medium,,,,,,,57.0,1134.0,5.03,"[8219533, 8206110, 8206337, 8207750, 8205498]",,,,,5.0
novel_cluster,2024-01-29/2024-02-04,,,,,medium,,,,,,,43.0,858.0,5.01,"[8266433, 8265725, 8244714, 8238950, 8267013]",,,,,5.0
novel_cluster,2025-01-27/2025-02-02,,,,,medium,,,,,,,85.0,1701.0,5.0,"[11874164, 11774286, 11775095, 11851029, 11801492]",,,,,5.0
novel_cluster,2025-01-20/2025-01-26,,,,,medium,,,,,,,118.0,2353.0,5.01,"[11612313, 11724472, 11732451, 11721852, 11755849]",,,,,5.0
correlated_spike,2023-11-27/2023-12-03,,,,,medium,,,,,,,,,,,4.0,"['CAPITAL ONE FINANCIAL CORPORATION', 'JPMORGAN CHASE & CO.', 'TrueAccord Corp.', 'Westlake Services, LLC']",2.82,"{'Attempts to collect debt not owed': 17, 'Written notification about debt': 13, 'Communication tactics': 4}",5.0
novel_cluster,2024-12-16/2024-12-22,,,,,medium,,,,,,,73.0,1445.0,5.05,"[11215475, 11184104, 11178062, 11224249, 11174890]",,,,,5.0
novel_cluster,2025-01-06/2025-01-12,,,,,medium,,,,,,,88.0,1756.0,5.01,"[11490421, 11395655, 11491867, 11489760, 11472523]",,,,,5.0
novel_cluster,2025-01-13/2025-01-19,,,,,medium,,,,,,,99.0,1999.0,4.95,"[11634169, 11576346, 11526320, 11621832, 11628675]",,,,,5.0
novel_cluster,2024-12-23/2024-12-29,,,,,medium,,,,,,,60.0,1183.0,5.07,"[11306476, 11297483, 11262604, 11304803, 11268376]",,,,,5.0
novel_cluster,2024-12-30/2025-01-05,,,,,medium,,,,,,,69.0,1375.0,5.02,"[11350942, 11388378, 11355597, 11376197, 11343968]",,,,,5.0
correlated_spike,2024-01-29/2024-02-04,,,,,medium,,,,,,,,,,,4.0,"['FAIR COLLECTIONS & OUTSOURCING, INC.', 'MRS BPO, LLC', 'NCB Management Services Inc.', 'TrueAccord Corp.']",2.33,"{'Attempts to collect debt not owed': 13, 'Written notification about debt': 5, 'Electronic communications': 3}",5.0
correlated_spike,2024-01-08/2024-01-14,,,,,medium,,,,,,,,,,,3.0,"['JPMORGAN CHASE & CO.', 'W&A Intermediate Co., LLC', 'Westlake Services, LLC']",2.58,"{'Attempts to collect debt not owed': 9, 'Written notification about debt': 8, 'Took or threatened to take negative or legal action': 2}",5.0
correlated_spike,2024-02-26/2024-03-03,,,,,medium,,,,,,,,,,,4.0,"['Ability Recovery Services, LLC', 'Aldous & Associates, PLLC', 'CAINE & WEINER COMPANY, INC.', 'JPMORGAN CHASE & CO.']",2.7,"{'Attempts to collect debt not owed': 16, 'Written notification about debt': 14, 'Took or threatened to take negative or legal action': 5}",5.0
correlated_spike,2023-12-18/2023-12-24,,,,,medium,,,,,,,,,,,4.0,"['HW Holding, Inc', 'National Credit Adjusters, LLC', 'SYNCHRONY FINANCIAL', 'WELLS FARGO & COMPANY']",2.79,"{'Attempts to collect debt not owed': 23, 'Written notification about debt': 13, 'False statements or representation': 3}",5.0
correlated_spike,2024-02-05/2024-02-11,,,,,medium,,,,,,,,,,,4.0,"['ONLINE Information Services, Inc.', 'Radius Global Solutions LLC', 'Sequium Asset Solutions, LLC', 'TrueAccord Corp.']",3.16,"{'Attempts to collect debt not owed': 21, 'Communication tactics': 3, 'Electronic communications': 3}",5.0
novel_cluster,2024-04-08/2024-04-14,,,,,medium,,,,,,,72.0,1740.0,4.14,"[8767497, 8761661, 8756646, 8761418, 8722471]",,,,,5.0
novel_cluster,2024-04-15/2024-04-21,,,,,medium,,,,,,,88.0,1785.0,4.93,"[8774655, 8776797, 8785211, 8823392, 8806406]",,,,,5.0
novel_cluster,2024-04-22/2024-04-28,,,,,medium,,,,,,,91.0,1810.0,5.03,"[8850846, 8838424, 8842177, 8879316, 8879338]",,,,,5.0
novel_cluster,2024-07-22/2024-07-28,,,,,medium,,,,,,,56.0,1183.0,4.73,"[9591057, 9603761, 9594420, 9619030, 9621734]",,,,,5.0
volume_spike,2025-01-20/2025-01-26,,,,,low,,"I.C. System, Inc.",33.0,17.8,1.86,0.000766,,,,,,,,,4.975771173670992
volume_spike,2025-01-20/2025-01-26,,,,,low,,"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",34.0,18.5,1.84,0.000782,,,,,,,,,4.946793191403777
volume_spike,2024-01-15/2024-01-21,,,,,low,,Experian Information Solutions Inc.,93.0,63.8,1.46,0.000349,,,,,,,,,4.917174448601158
volume_spike,2024-08-12/2024-08-18,,,,,low,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",190.0,146.5,1.3,0.000324,,,,,,,,,4.789454855751901
volume_spike,2024-03-25/2024-03-31,,,,,low,,"EQUIFAX, INC.",237.0,188.5,1.26,0.000371,,,,,,,,,4.690625973324463
volume_spike,2024-03-18/2024-03-24,,,,,low,,"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",28.0,15.0,1.87,0.001716,,,,,,,,,4.635482691178778
volume_spike,2025-01-06/2025-01-12,,,,,low,,Experian Information Solutions Inc.,140.0,104.5,1.34,0.000536,,,,,,,,,4.6108351292821474
volume_spike,2023-11-27/2023-12-03,,,,,low,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",66.0,43.5,1.52,0.00089,,,,,,,,,4.570609944557957
volume_spike,2024-12-02/2024-12-08,,,,,low,,"EQUIFAX, INC.",137.0,102.5,1.34,0.000664,,,,,,,,,4.517831855226192
volume_spike,2024-12-02/2024-12-08,,,,,low,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",155.0,118.5,1.31,0.000756,,,,,,,,,4.431478147052437
volume_spike,2024-04-15/2024-04-21,,,,,low,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",352.0,294.5,1.2,0.000616,,,,,,,,,4.410419217333229
volume_spike,2025-01-13/2025-01-19,,,,,low,,T.S. Holdings,19.0,9.5,2.0,0.004284,,,,,,,,,4.368150527702589
volume_spike,2024-12-02/2024-12-08,,,,,low,,Experian Information Solutions Inc.,153.0,117.2,1.3,0.00089,,,,,,,,,4.350609944557958
volume_spike,2025-01-13/2025-01-19,,,,,low,,"CITIBANK, N.A.",22.0,11.5,1.91,0.003771,,,,,,,,,4.333543456077687
volume_spike,2025-01-20/2025-01-26,,,,,low,,T.S. Holdings,22.0,11.5,1.91,0.003771,,,,,,,,,4.333543456077687
volume_spike,2024-09-30/2024-10-06,,,,,low,,"CCS Financial Services, Inc.",30.0,17.0,1.76,0.002727,,,,,,,,,4.324314846132647
volume_spike,2025-01-06/2025-01-12,,,,,low,,CL Holdings LLC,76.0,52.5,1.45,0.001357,,,,,,,,,4.317420120336249
volume_spike,2025-01-06/2025-01-12,,,,,low,,"Portfolio Recovery Associates, LLC",72.0,49.2,1.46,0.001394,,,,,,,,,4.315737195083456
volume_spike,2025-01-20/2025-01-26,,,,,low,,"W&A Intermediate Co., LLC",20.0,10.2,1.95,0.004499,,,,,,,,,4.2968839971812995
volume_spike,2024-07-15/2024-07-21,,,,,low,,Resurgent Capital Services L.P.,82.0,57.5,1.43,0.001364,,,,,,,,,4.29518559783977
volume_spike,2025-01-13/2025-01-19,,,,,low,,"National Credit Systems,Inc.",39.0,24.0,1.62,0.00298,,,,,,,,,4.145783721350105
volume_spike,2024-12-09/2024-12-15,,,,,low,,"National Credit Systems,Inc.",29.0,16.8,1.73,0.004096,,,,,,,,,4.117640041429333
volume_spike,2024-11-18/2024-11-24,,,,,low,,SYNCHRONY FINANCIAL,18.0,9.2,1.95,0.006936,,,,,,,,,4.108890909270392
volume_spike,2025-01-13/2025-01-19,,,,,low,,"CCS Financial Services, Inc.",40.0,25.0,1.6,0.003444,,,,,,,,,4.062936844608206
volume_spike,2025-01-20/2025-01-26,,,,,low,,"Spring Oaks Capital, LLC",19.0,10.0,1.9,0.007187,,,,,,,,,4.043452349100473
volume_spike,2023-12-04/2023-12-10,,,,,low,,Experian Information Solutions Inc.,81.0,58.0,1.4,0.00248,,,,,,,,,4.00554830166191
volume_spike,2024-08-12/2024-08-18,,,,,low,,Experian Information Solutions Inc.,184.0,147.0,1.25,0.001804,,,,,,,,,3.993763442720104
volume_spike,2024-08-05/2024-08-11,,,,,low,,"I.C. System, Inc.",20.0,10.8,1.86,0.007373,,,,,,,,,3.992355760206565
volume_spike,2024-11-04/2024-11-10,,,,,low,,"SUNRISE CREDIT SERVICES, INC",18.0,9.5,1.89,0.008928,,,,,,,,,3.9392458135420867
volume_spike,2024-02-12/2024-02-18,,,,,low,,Resurgent Capital Services L.P.,58.0,39.5,1.47,0.00342,,,,,,,,,3.9359738812451956
volume_spike,2025-01-20/2025-01-26,,,,,low,,TRANSWORLD SYSTEMS INC,46.0,30.0,1.53,0.003958,,,,,,,,,3.932524199157049
volume_spike,2024-03-25/2024-03-31,,,,,low,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",278.0,232.2,1.2,0.001923,,,,,,,,,3.9160206931773045
volume_spike,2024-10-14/2024-10-20,,,,,low,,ENCORE CAPITAL GROUP INC.,73.0,52.0,1.4,0.003434,,,,,,,,,3.864199696528204
volume_spike,2024-07-08/2024-07-14,,,,,low,,Resurgent Capital Services L.P.,76.0,54.5,1.39,0.003389,,,,,,,,,3.8599284183477947
volume_spike,2024-11-04/2024-11-10,,,,,low,,"CCS Financial Services, Inc.",39.0,25.0,1.56,0.005696,,,,,,,,,3.804430011746648
volume_spike,2025-01-06/2025-01-12,,,,,low,,"Kriya Capital, LLC",28.0,16.8,1.67,0.007361,,,,,,,,,3.803063176368422
volume_spike,2024-03-11/2024-03-17,,,,,low,,"Portfolio Recovery Associates, LLC",48.0,32.2,1.49,0.005631,,,,,,,,,3.739414464946427
volume_spike,2024-03-11/2024-03-17,,,,,low,,ENCORE CAPITAL GROUP INC.,49.0,33.2,1.47,0.006198,,,,,,,,,3.677748421089726
volume_spike,2024-11-04/2024-11-10,,,,,low,,Resurgent Capital Services L.P.,120.0,93.2,1.29,0.004392,,,,,,,,,3.647337658669657
volume_spike,2024-05-13/2024-05-19,,,,,low,,"Portfolio Recovery Associates, LLC",54.0,37.5,1.44,0.006578,,,,,,,,,3.6219061242511374
volume_spike,2024-08-19/2024-08-25,,,,,low,,CL Holdings LLC,52.0,36.0,1.44,0.007121,,,,,,,,,3.587459008131416
volume_spike,2024-09-23/2024-09-29,,,,,low,,Resurgent Capital Services L.P.,100.0,77.0,1.3,0.006745,,,,,,,,,3.4710180395533152
volume_spike,2024-04-15/2024-04-21,,,,,low,,"EQUIFAX, INC.",291.0,249.2,1.17,0.005301,,,,,,,,,3.4456421875808836
volume_spike,2024-10-07/2024-10-13,,,,,low,,"Portfolio Recovery Associates, LLC",63.0,45.8,1.38,0.008944,,,,,,,,,3.4284682046019443
volume_spike,2025-01-06/2025-01-12,,,,,low,,Resurgent Capital Services L.P.,115.0,90.5,1.27,0.007365,,,,,,,,,3.4028272429246162
volume_spike,2025-01-20/2025-01-26,,,,,low,,ENCORE CAPITAL GROUP INC.,90.0,69.2,1.3,0.009476,,,,,,,,,3.323374943366173
volume_spike,2024-10-07/2024-10-13,,,,,low,,Experian Information Solutions Inc.,176.0,145.5,1.21,0.007726,,,,,,,,,3.3220452905699913
